City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
1,Capinopolis,BR,73.62,clear sky,-18.6819,-49.5697,Tropical Hotel
3,Kavieng,PG,82.56,light rain,-2.5744,150.7967,Nusa Island Retreat
4,Port Hedland,AU,62.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
7,Atuona,PF,77.59,broken clouds,-9.8,-139.0333,Villa Enata
8,Lishu,CN,78.87,clear sky,43.3047,124.3278,Yuzhen Hotel
11,San Carlos,VE,76.96,broken clouds,9.6612,-68.5827,Hotel Paternopoli
12,Gijon,ES,66.99,scattered clouds,43.5357,-5.6615,Miramar
13,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Bethel,US,78.73,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
19,Manggar,ID,81.36,overcast clouds,-2.8833,108.2667,Guest Hotel
20,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
22,Rikitea,PF,72.95,few clouds,-23.1203,-134.9692,People ThankYou
25,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,waigo splash hotel
26,Grand Gaube,MU,71.91,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
27,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
29,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Port Hawkesbury,CA,68.92,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
31,Mahebourg,MU,70.45,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Carnarvon,AU,64.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Shouguang,CN,82.17,overcast clouds,36.88,118.7375,Communications Hotel
35,Strezhevoy,RU,66.18,broken clouds,60.7333,77.5889,Sibiryachka
36,Motril,ES,85.28,clear sky,36.7507,-3.5179,Hostal Tropical
37,Cap-Aux-Meules,CA,60.62,light rain,47.3821,-61.8597,Auberge Madeli
38,Yellowknife,CA,73.29,broken clouds,62.456,-114.3525,The Explorer Hotel
39,Puqi,CN,80.17,few clouds,29.7167,113.8833,Ramada Plaza Chibi
41,Sibolga,ID,75.33,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
42,Singaraja,ID,76.69,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
43,Broome,US,71.83,few clouds,42.2506,-75.833,Chenango Valley State Park
44,Baker City,US,89.92,clear sky,44.7749,-117.8344,Bridge Street Inn
46,Kelvington,CA,85.53,clear sky,52.1667,-103.5343,Sportsman Motel
47,Ahuimanu,US,80.46,light rain,21.4447,-157.8378,Paradise Bay Resort
48,Thompson,CA,73.56,smoke,55.7435,-97.8558,Burntwood Hotel
49,Faranah,GN,71.65,overcast clouds,10.0404,-10.7434,Chez mon oncle
51,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Inirida,CO,74.59,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
53,Fatehabad,IN,84.07,broken clouds,29.5167,75.45,Duke Hotel & Restaurant
54,Bereda,ES,62.58,scattered clouds,43.2686,-7.5406,Pazo de Verdes
55,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
57,Fort Frances,CA,69.17,few clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
58,Najran,SA,75.38,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
62,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
65,Santa Cruz Cabralia,BR,73.63,broken clouds,-16.2781,-39.0247,Portobali Hotel
66,Ust-Ilimsk,RU,60.19,overcast clouds,58.0006,102.6619,Alenat Tsentr
67,Padang,ID,75.99,broken clouds,-0.9492,100.3543,Mercure Padang
70,Chimbote,PE,64.62,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
71,Komsomolskiy,UZ,72.82,clear sky,40.4272,71.7189,Ikathouse
74,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
75,Hasaki,JP,81.28,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
77,Faanui,PF,78.96,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Timmins,CA,68.9,broken clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
79,Chabahar,IR,88.47,clear sky,25.2919,60.643,هتل گدروشیا
80,Saurimo,AO,62.2,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
81,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
84,Nakhon Phanom,TH,73.8,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
88,Porto Murtinho,BR,68.43,clear sky,-21.6989,-57.8825,Hotel Pantanal
92,Vao,NC,70.27,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
93,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
97,Canico,PT,72.01,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
99,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
101,Polis,CY,76.82,clear sky,35.0367,32.4264,Marion
102,Kieta,PG,82.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
104,Butaritari,KI,82.98,light rain,3.0707,172.7902,Isles Sunset Lodge
105,Puerto Penasco,MX,89.91,scattered clouds,31.3167,-113.5333,Playa Bonita Resort
106,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Hotel Central
109,Labuhan,ID,75.96,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
113,Agadir,MA,70.25,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
117,Jamestown,US,70.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
121,Itarema,BR,78.85,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,La Ronge,CA,70.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
127,Gorontalo,ID,77.7,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
129,Selenginsk,RU,63.01,light rain,52.0064,106.8647,Selenga
132,Lagoa Da Canoa,BR,66.33,scattered clouds,-9.8297,-36.7378,Recanto Santo Antonio
133,Umarkot,PK,83.7,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
137,Piacabucu,BR,73.99,few clouds,-10.4056,-36.4344,Piaçabuçu News
138,Bizhbulyak,RU,64.17,broken clouds,53.6967,54.2642,Гостиница «Уют»
141,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
142,Soyo,AO,70.88,clear sky,-6.1349,12.3689,Hotel Mpampa
143,Suleja,NG,70.84,light rain,9.1758,7.1808,Capy Motel
144,Khandyga,RU,62.71,light rain,62.6667,135.6,Apel'sin
145,Yebaishou,CN,74.53,overcast clouds,41.3975,119.6408,Siji Home
146,Songea,TZ,63.55,overcast clouds,-10.6833,35.65,mtakuja
147,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
149,Mujiayingzi,CN,73.35,overcast clouds,42.1167,118.7833,Jinjiang Hotel
150,Harsin,IR,76.3,clear sky,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
151,Trairi,BR,78.42,few clouds,-3.2778,-39.2689,janelas do mar
154,Torquay,GB,71.58,broken clouds,50.4638,-3.5143,The Grand Hotel
157,Mackay,AU,61.68,clear sky,-21.15,149.2,International Lodge Motel
159,Calama,CL,64.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
160,Coxim,BR,75.61,few clouds,-18.5067,-54.76,Hotel Avenida
161,Pauini,BR,78.35,clear sky,-7.7136,-66.9764,Casa do Kiwliks
162,Halifax,CA,70.7,broken clouds,44.6453,-63.5724,Hotel Halifax
163,Eresos,GR,80.11,clear sky,39.1667,25.9333,Studio Aspa
164,Gernsbach,DE,66.78,clear sky,48.7667,8.3333,Badischer Landgasthof Lautenfelsen
165,Celestun,MX,84.92,scattered clouds,20.8667,-90.4,Posada Lilia
166,Canoa,DO,87.51,few clouds,18.355,-71.1585,Col julia
168,Mykhaylivka,UA,69.28,clear sky,47.2724,35.2224,Hotelʹ
170,Sabha,LY,85.87,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
171,Kanniyakumari,IN,79.77,light rain,8.0833,77.5667,Sparsa
172,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
174,Senigallia,IT,77.14,few clouds,43.7093,13.2167,Hotel Universal
176,Vanimo,PG,79.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
178,Samarai,PG,78.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
179,Avallon,FR,60.6,clear sky,47.4833,3.9,Hotel d'Avallon Vauban
180,Dwarka,IN,82.54,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
181,Bayanday,RU,60.17,clear sky,53.0661,105.5139,Guesthouse Nika
183,Saint-Pierre,RE,71.28,light rain,-21.3393,55.4781,Lindsey Hôtel
184,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
185,Saint Andrews,US,88.11,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
186,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
187,La Solana,ES,82.45,clear sky,38.9442,-3.2381,Apartamento Prado
189,Straseni,MD,64.33,light rain,47.1414,28.6103,Castania Holiday Homes
193,Garcia,MX,81.86,overcast clouds,25.8167,-100.5833,"Priv.Paseo Alamedas,Garcia N.L"
195,Kolokani,ML,72.79,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
196,Lazaro Cardenas,MX,85.57,broken clouds,17.9583,-102.2,quinta antigua
199,Dingle,PH,78.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Matadi,CD,70.54,clear sky,-5.8167,13.45,Hotel Vivi Palace
202,Fare,PF,78.69,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
204,Awbari,LY,84.6,clear sky,26.5921,12.7805,فندق أوباري
206,Vila,PT,64.74,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
208,Sarangani,PH,84.24,few clouds,5.4033,125.4636,Ballistic Islet
210,Wewak,PG,80.92,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
211,Nacala,MZ,72.72,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
213,Solok,ID,68.95,broken clouds,-0.7918,100.6593,Mami Hotel & Restaurant
215,Balykshi,KZ,80.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
216,Nassau,US,81.81,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
218,Hami,CN,83.95,overcast clouds,42.8,93.45,Laoyutang Resort
221,Cherskiy,RU,61.18,clear sky,68.75,161.3,Gostinitsa
222,Mumford,GH,75.42,few clouds,5.2618,-0.759,Spanish Villa
223,Kendari,ID,73.31,overcast clouds,-3.945,122.4989,Hotel Wixel
224,Elizabeth City,US,89.65,haze,36.2946,-76.2511,Hampton Inn Elizabeth City
225,Arraial Do Cabo,BR,64.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
227,Heihe,CN,81.18,broken clouds,50.2441,127.4902,Hotel Strannik
232,Tongren,CN,76.55,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
234,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
235,Fortuna,US,81.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
237,Vila Franca Do Campo,PT,66.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
238,Yulara,AU,61.75,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
239,Zamania,IN,84.04,overcast clouds,25.4333,83.5667,UMAR ZAMA KHAN PLACE
240,Guiberoua,CI,71.6,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHE
241,Badnawar,IN,76.91,overcast clouds,23.0167,75.2167,Hotel Mrityunjay
242,Helong,CN,78.46,light rain,42.5397,128.9972,Helong Hotel
243,Mollendo,PE,61.54,clear sky,-17.0231,-72.0147,Hostal La Casa de Melgar
244,Bijar,IR,73.9,clear sky,35.8668,47.6051,رنگ فروشي جواهري
246,Penzance,GB,72.61,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
248,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
250,Kaduqli,SD,73.15,overcast clouds,11.0167,29.7167,فندق الله جابو
252,Ayan,RU,63.84,overcast clouds,56.45,138.1667,Gostinitsa
253,Angoche,MZ,72.45,clear sky,-16.2325,39.9086,Guest House HESADA
254,Tanggu,CN,80.56,light rain,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
255,Puerto Baquerizo Moreno,EC,72.52,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
258,Lorengau,PG,83.17,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Camacha,PT,68.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
260,Verkhnevilyuysk,RU,66.22,broken clouds,63.4453,120.3167,Gostinitsa Mila
263,Karratha,AU,70.16,clear sky,-20.7377,116.8463,ibis Styles Karratha
264,Indramayu,ID,76.86,light rain,-6.3264,108.32,Grand Trisula Hotel
265,Saint Anthony,US,84.52,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
267,Horsham,GB,72.07,clear sky,51.064,-0.3272,Springfields Hotel
271,Marapanim,BR,75.34,scattered clouds,-0.7175,-47.6997,Ecomangue Pousada
273,Peace River,CA,66.51,smoke,56.2501,-117.286,BCMInns - Peace River
275,Kizukuri,JP,80.11,light rain,40.8061,140.3861,Hotel memory
276,Noshiro,JP,81.54,broken clouds,40.2039,140.0242,Azuma Ryokan
277,Huzhou,CN,79.41,few clouds,30.8703,120.0933,Huzhou Plaza Hotel
278,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
279,Kijang,KR,83.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
281,Khani,GE,71.17,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
282,Katsuura,JP,84.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
283,Kirovskiy,RU,78.96,broken clouds,45.0917,133.5136,"Uyut, Gostinitsa"
285,Bacolod,PH,79.84,overcast clouds,10.6667,122.95,Planta Hotel & Residences
289,Bogale,MM,78.55,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
291,Kano,NG,80.49,light rain,12.0001,8.5167,Havana Guest Inn
292,Clinton,US,76.95,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
295,Irbil,IQ,85.82,clear sky,36.1926,44.0106,Erbil International Hotel
296,Phan Thiet,VN,76.6,overcast clouds,10.9333,108.1,Hotel Saigon-PT
297,Quelimane,MZ,71.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
298,Namatanai,PG,82.04,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
301,Srandakan,ID,73.2,broken clouds,-7.9386,110.2506,Puri Brata
303,Gulu,UG,63.5,few clouds,2.7746,32.299,ACHOLI INN
304,Pisco,PE,62.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
306,Nishihara,JP,81.68,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
307,Taber,CA,82.22,broken clouds,49.8167,-112.1518,Taber Motel
309,Rayon,MX,63.91,broken clouds,19.1444,-99.5836,La Paloma
310,Zhicheng,CN,78.82,light rain,30.2956,111.5047,Wangjiang Building
311,Urengoy,RU,64.67,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
313,Belen,TR,75.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
314,Kota Bahru,MY,76.59,overcast clouds,6.1333,102.2386,Grand Riverview Hotel
315,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
316,Yining,CN,78.33,broken clouds,29.0361,114.5636,Xiushui Hotel
318,Biak,ID,74.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
320,Saint-Paul,RE,71.71,broken clouds,-21.0096,55.2707,Boucan Canot
321,Auki,SB,83.41,broken clouds,-8.7676,160.7034,Auki Motel
322,Jawhar,SO,73.9,scattered clouds,2.7809,45.5005,hantiwadaag village part one
323,Husavik,IS,60.71,clear sky,66.0449,-17.3389,Bjarnabúð
324,Moose Factory,CA,66.2,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
325,Sao Filipe,CV,76.6,overcast clouds,14.8961,-24.4956,Hotel Xaguate
326,Abha,SA,61.05,overcast clouds,18.2164,42.5053,Abha Hotel
327,Velyka Mykhaylivka,UA,64.02,light rain,47.0794,29.8514,"Готель ""Уют"""
328,Grado,ES,66.24,mist,43.388,-6.0743,El Lacayo de Sestiello
329,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
331,Kaduna,NG,70.63,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
333,Petropavlovsk-Kamchatskiy,RU,64.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
337,Makhachkala,RU,77.02,scattered clouds,42.9764,47.5024,Argo
338,Antalaha,MG,68.7,light rain,-14.9003,50.2788,Hotel Vitasoa
340,Salinopolis,BR,79.68,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
343,Popondetta,PG,81.84,few clouds,-8.7537,148.2534,Timos Transit House
345,Belmonte,BR,73.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
346,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
347,Margate,GB,67.3,clear sky,51.3813,1.3862,Premier Inn Margate hotel
348,Banda Aceh,ID,79.32,overcast clouds,5.5577,95.3222,Sulthan Hotel International
349,Goderich,CA,68.92,clear sky,43.7501,-81.7165,Harmony Inn
351,Zhigansk,RU,61.84,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
352,Wangkui,CN,78.39,broken clouds,46.8333,126.5,Xinxinyuan Restaurant
353,Am Timan,TD,74.95,light rain,11.0297,20.2827,Palais du chef Canton Salamt
354,Kunigal,IN,74.62,overcast clouds,13.0222,77.0267,New Durga lodge
355,Sattahip,TH,86.92,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
357,Tirumullaivasal,IN,80.37,overcast clouds,11.2333,79.8333,My own house
358,Porto Walter,BR,76.1,clear sky,-8.2686,-72.7439,Secretaria de saúde
359,Tias,ES,69.55,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
360,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
361,Coahuayana,MX,87.57,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
362,Yamada,JP,74.98,overcast clouds,39.4667,141.95,Iroha-ya Inn
365,Norman Wells,CA,84.24,broken clouds,65.282,-126.8329,Heritage Hotel
367,Chapais,CA,69.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
368,Wilmington,US,86.0,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
